,Date,TotalPrice
0,2010-12-01,40969.3
1,2010-12-02,43039.96
2,2010-12-03,21176.69
3,2010-12-05,29032.5
4,2010-12-06,28246.7
5,2010-12-07,50706.72
6,2010-12-08,35010.07
7,2010-12-09,35314.94
8,2010-12-10,31321.19
9,2010-12-12,16196.5
10,2010-12-13,24857.53
11,2010-12-14,26767.32
12,2010-12-15,28361.28
13,2010-12-16,42970.85
14,2010-12-17,17675.46
15,2010-12-19,6838.59
16,2010-12-20,18032.98
17,2010-12-21,14087.49
18,2010-12-22,4537.67
19,2010-12-23,4874.51
20,2011-01-04,10581.57
21,2011-01-05,24147.73
22,2011-01-06,30721.71
23,2011-01-07,21335.31
24,2011-01-09,14247.42
25,2011-01-10,14251.84
26,2011-01-11,43037.44
27,2011-01-12,15413.33
28,2011-01-13,13782.8
29,2011-01-14,35866.52
30,2011-01-16,6324.6
31,2011-01-17,14468.68
32,2011-01-18,86359.17000000001
33,2011-01-19,19465.61
34,2011-01-20,13843.21
35,2011-01-21,21790.35
36,2011-01-23,9607.91
37,2011-01-24,16351.67
38,2011-01-25,21362.99
39,2011-01-26,15648.34
40,2011-01-27,20622.88
41,2011-01-28,15555.18
42,2011-01-30,5922.61
43,2011-01-31,16987.54
44,2011-02-01,24193.05
45,2011-02-02,15056.26
46,2011-02-03,20303.15
47,2011-02-04,16349.86
48,2011-02-06,3231.77
49,2011-02-07,22379.05
50,2011-02-08,12627.93
51,2011-02-09,10600.07
52,2011-02-10,13031.78
53,2011-02-11,16837.74
54,2011-02-13,5394.53
55,2011-02-14,20562.74
56,2011-02-15,35598.95
57,2011-02-16,21585.34
58,2011-02-17,16048.24
59,2011-02-18,12523.51
60,2011-02-20,8974.47
61,2011-02-21,30867.67
62,2011-02-22,26056.39
63,2011-02-23,17024.66
64,2011-02-24,19691.6
65,2011-02-25,16448.14
66,2011-02-27,9005.97
67,2011-02-28,14144.8
68,2011-03-01,22146.52
69,2011-03-02,17611.75
70,2011-03-03,30911.97
71,2011-03-04,16216.02
72,2011-03-06,9361.05
73,2011-03-07,19099.9
74,2011-03-08,19957.15
75,2011-03-09,18668.91
76,2011-03-10,22138.53
77,2011-03-11,19347.64
78,2011-03-13,3708.23
79,2011-03-14,23871.920000000002
80,2011-03-15,13751.77
81,2011-03-16,19495.510000000002
82,2011-03-17,29263.54
83,2011-03-18,21865.23
84,2011-03-20,18173.93
85,2011-03-21,14952.24
86,2011-03-22,17647.38
87,2011-03-23,18849.64
88,2011-03-24,33195.21
89,2011-03-25,24696.26
90,2011-03-27,8569.4
91,2011-03-28,18135.1
92,2011-03-29,34817.2
93,2011-03-30,26626.21
94,2011-03-31,23725.48
95,2011-04-01,22401.37
96,2011-04-03,6303.92
97,2011-04-04,27624.29
98,2011-04-05,27216.68
99,2011-04-06,11559.76
100,2011-04-07,14904.59
101,2011-04-08,21116.72
102,2011-04-10,8907.4
103,2011-04-11,18351.95
104,2011-04-12,21210.6
105,2011-04-13,22945.87
106,2011-04-14,31376.31
107,2011-04-15,16398.251
108,2011-04-17,11743.76
109,2011-04-18,33429.39
110,2011-04-19,17351.81
111,2011-04-20,23674.69
112,2011-04-21,24255.68
113,2011-04-26,19827.96
114,2011-04-27,21379.43
115,2011-04-28,19632.42
116,2011-05-01,6158.28
117,2011-05-03,18345.13
118,2011-05-04,23913.16
119,2011-05-05,21580.72
120,2011-05-06,27074.63
121,2011-05-08,15668.64
122,2011-05-09,18428.79
123,2011-05-10,25794.83
124,2011-05-11,26413.84
125,2011-05-12,49387.94
126,2011-05-13,22269.9
127,2011-05-15,8320.59
128,2011-05-16,30354.48
129,2011-05-17,39767.67
130,2011-05-18,28875.63
131,2011-05-19,26760.71
132,2011-05-20,21286.97
133,2011-05-22,21254.07
134,2011-05-23,28340.12
135,2011-05-24,29580.489999999998
136,2011-05-25,19015.67
137,2011-05-26,27506.96
138,2011-05-27,15640.55
139,2011-05-29,6640.08
140,2011-05-31,15887.68
141,2011-06-01,13144.74
142,2011-06-02,24268.03
143,2011-06-03,13338.33
144,2011-06-05,21412.48
145,2011-06-06,14155.16
146,2011-06-07,31090.27
147,2011-06-08,26274.91
148,2011-06-09,39340.55
149,2011-06-10,15673.52
150,2011-06-12,10873.04
151,2011-06-13,16564.57
152,2011-06-14,27721.3
153,2011-06-15,37431.75
154,2011-06-16,27325.8
155,2011-06-17,16584.51
156,2011-06-19,19146.92
157,2011-06-20,23045.39
158,2011-06-21,17789.89
159,2011-06-22,18172.96
160,2011-06-23,18777.03
161,2011-06-24,13508.710000000001
162,2011-06-26,5874.08
163,2011-06-27,11401.42
164,2011-06-28,27015.76
165,2011-06-29,11411.33
166,2011-06-30,39098.03
167,2011-07-01,10487.28
168,2011-07-03,5215.33
169,2011-07-04,25684.8
170,2011-07-05,22675.03
171,2011-07-06,19757.65
172,2011-07-07,24130.02
173,2011-07-08,13907.62
174,2011-07-10,5375.41
175,2011-07-11,16937.21
176,2011-07-12,14151.77
177,2011-07-13,16823.19
178,2011-07-14,26589.18
179,2011-07-15,9905.85
180,2011-07-17,14531.79
181,2011-07-18,18970.21
182,2011-07-19,38819.08
183,2011-07-20,21061.35
184,2011-07-21,25521.86
185,2011-07-22,12919.28
186,2011-07-24,22208.07
187,2011-07-25,16632.6
188,2011-07-26,15467.061
189,2011-07-27,19100.41
190,2011-07-28,49093.27
191,2011-07-29,14740.2
192,2011-07-31,27210.489999999998
193,2011-08-01,17205.74
194,2011-08-02,17519.32
195,2011-08-03,23783.15
196,2011-08-04,53943.96
197,2011-08-05,17833.57
198,2011-08-07,6485.9
199,2011-08-08,17345.22
200,2011-08-09,20740.73
201,2011-08-10,16263.39
202,2011-08-11,48720.98
203,2011-08-12,15053.41
204,2011-08-14,4953.55
205,2011-08-15,14560.33
206,2011-08-16,14048.92
207,2011-08-17,43953.03
208,2011-08-18,47779.54
209,2011-08-19,14910.02
210,2011-08-21,12697.2
211,2011-08-22,25299.05
212,2011-08-23,18677.61
213,2011-08-24,33853.4
214,2011-08-25,19169.21
215,2011-08-26,20833.32
216,2011-08-28,9319.25
217,2011-08-30,7869.4800000000005
218,2011-08-31,17262.36
219,2011-09-01,33431.13
220,2011-09-02,26075.73
221,2011-09-04,14683.87
222,2011-09-05,30822.48
223,2011-09-06,21716.69
224,2011-09-07,18638.82
225,2011-09-08,20464.63
226,2011-09-09,21489.27
227,2011-09-11,31642.88
228,2011-09-12,24361.66
229,2011-09-13,40625.26
230,2011-09-14,18856.75
231,2011-09-15,67681.49
232,2011-09-16,20571.94
233,2011-09-18,14158.03
234,2011-09-19,39803.74
235,2011-09-20,96489.26
236,2011-09-21,33344.64
